config_id,instance,seed,budget,cost,time,status,starttime,endtime,config:batch_size,config:budget_type,config:cv_count,config:dataset,config:datasetpath,config:device,config:dropout_rate,config:global_avg_pooling,config:kernel_size,config:learning_rate_init,config:n_channels_conv_0,config:n_channels_fc_0,config:n_conv_layers,config:n_fc_layers,config:use_BN,config:n_channels_conv_1,config:n_channels_conv_2,scenario_seed,config:n_channels_fc_1,config:n_channels_fc_2
9,,1506059195,20.0,0.5796196004912395,3603.1168160438538,StatusType.SUCCESS,1686127042.6412458,1686130645.76102,68,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,0.0002388122309419,50,77,3,3,False,460.0,62.0,12349,29.0,60.0
20,,872516536,20.0,0.5721227162938209,1205.465915441513,StatusType.SUCCESS,1686131755.2005062,1686132960.696494,111,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,1.975210244366328e-05,54,49,1,3,True,,,12347,44.0,53.0
8,,1592017343,20.0,0.5705955624838976,4491.508654117584,StatusType.SUCCESS,1686126106.5975382,1686130598.1078477,95,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,7.671457931848974e-05,350,43,1,2,True,,,12348,26.0,
18,,1506059195,20.0,0.565597659961893,3536.636034488678,StatusType.SUCCESS,1686131369.3421826,1686134905.980663,69,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,0.0074269393683833,257,71,1,1,True,,,12349,,
8,,1506059195,20.0,0.5557406655114905,11402.75159573555,StatusType.SUCCESS,1686126133.941904,1686137536.6964478,99,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,0.0002457153768035,450,128,3,3,False,318.0,209.0,12349,58.0,32.0
18,,872516536,20.0,0.5468554682502123,13219.010743141174,StatusType.SUCCESS,1686130901.3978524,1686144120.4120765,106,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,0.0002221664179366,435,48,2,2,False,483.0,,12347,61.0,
6,,1506059195,20.0,0.5376926298507565,5886.02611207962,StatusType.SUCCESS,1686134244.2280347,1686140130.2567942,113,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,0.0049926956018049,365,108,2,2,True,42.0,,12349,47.0,
20,,1842529055,20.0,0.5295015976699744,1197.393943309784,StatusType.SUCCESS,1686130107.6937592,1686131305.0915627,86,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,1.3350335436124172e-05,51,107,1,1,True,,,12346,,
39,,1592017343,20.0,0.5251978287898964,8372.764293432236,StatusType.SUCCESS,1686148746.4354746,1686157119.201662,89,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,0.003772665808451,394,37,3,2,True,221.0,108.0,12348,63.0,
29,,1506059195,20.0,0.5150631832076031,12846.37767481804,StatusType.SUCCESS,1686139944.4349372,1686152790.8168426,31,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,0.0030391706986518,381,68,2,3,True,454.0,,12349,23.0,22.0
11,,1506059195,20.0,0.5142301736392032,4390.170542478561,StatusType.SUCCESS,1686135554.2054348,1686139944.3781617,20,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,0.0009968215202661,63,85,3,1,True,433.0,55.0,12349,,
9,,872516536,20.0,0.50992640372359,4594.001257419586,StatusType.SUCCESS,1686127161.1490457,1686131755.152522,44,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,1.7077795452523243e-05,327,39,1,2,True,,,12347,43.0,
38,,1506059195,20.0,0.5054838261835346,5099.752857208252,StatusType.SUCCESS,1686145451.0074718,1686150550.7626035,16,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,0.0016640094347296,63,97,2,2,True,486.0,,12349,64.0,
30,,1845187042,20.0,0.500069385599001,13273.452835083008,StatusType.SUCCESS,1686139173.342441,1686152446.7977684,126,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,1.292017293321096e-05,468,117,2,2,True,366.0,,12345,37.0,
17,,872516536,20.0,0.4968762950037942,4636.687072753906,StatusType.SUCCESS,1686134902.2517054,1686139538.9409976,78,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,0.0010225842986399,193,119,2,3,True,153.0,,12347,34.0,24.0
9,,1842529055,20.0,0.4943773476974543,6675.527369260788,StatusType.SUCCESS,1686125902.0229251,1686132577.5520806,58,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,3.1714275435549445e-05,501,77,1,1,True,,,12346,,
20,,1845187042,20.0,0.4918783787349876,5358.7701761722565,StatusType.SUCCESS,1686129682.6220894,1686135041.4604816,106,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,0.0031630308847905,367,115,2,2,False,94.0,,12345,38.0,
10,,1845187042,20.0,0.4913230443609419,4784.13717508316,StatusType.SUCCESS,1686127370.3675675,1686132154.5065997,88,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,0.0013594018771713,153,119,2,1,False,340.0,,12345,,
19,,1506059195,20.0,0.4835485113787515,6400.557435274124,StatusType.SUCCESS,1686131676.0157108,1686138076.586347,20,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,0.0009968215202661,110,92,2,1,True,512.0,,12349,,
